Runs,Tl_0_guess,message
1,323.74,Collides at 1.26
2,323.7402,Collides at 1.26
3,323.7404,Collides at 1.26
4,323.7406,Collides at 1.26
5,323.7408,Collides at 1.26
6,323.741,Collides at 1.26
7,323.7412,Collides at 1.32
8,323.7414,Collides at 1.32
9,323.7416,Collides at 1.32
10,323.7418,Collides at 1.32
11,323.742,Collides at 1.32
12,323.7422,Collides at 1.32
13,323.7424,Collides at 1.32
14,323.7426,Collides at 1.32
15,323.7428,Collides at 1.32
16,323.743,Collides at 1.32
17,323.7432,Collides at 1.32
18,323.7434,Collides at 1.32
19,323.7436,Collides at 1.32
20,323.7438,Collides at 1.32
21,323.744,Collides at 1.32
22,323.7442,Collides at 1.32
23,323.7444,Collides at 1.32
24,323.7446,Collides at 1.32
25,323.7448,Collides at 1.32
26,323.745,Collides at 1.32
27,323.7452,Collides at 1.32
28,323.7454,Collides at 1.32
29,323.7456,Collides at 1.32
30,323.7458,Collides at 1.32
31,323.746,Collides at 1.32
32,323.7462,Collides at 1.32
33,323.7464,Collides at 1.32
34,323.7466,Collides at 1.32
35,323.7468,Collides at 1.32
36,323.747,Collides at 1.32
37,323.7472,Collides at 1.32
38,323.7474,Collides at 1.32
39,323.7476,Collides at 1.38
40,323.7478,Collides at 1.38
41,323.748,Collides at 1.38
42,323.7482,Collides at 1.38
43,323.7484,Collides at 1.38
44,323.7486,Collides at 1.38
45,323.7488,Collides at 1.38
46,323.749,Collides at 1.38
47,323.7492,Collides at 1.38
48,323.7494,Collides at 1.38
49,323.7496,Collides at 1.38
50,323.7498,Collides at 1.38
51,323.75,Collides at 1.38
52,323.7502,Collides at 1.38
53,323.7504,Collides at 1.38
54,323.7506,Collides at 1.38
55,323.7508,Collides at 1.38
56,323.751,Collides at 1.44
57,323.7512,Collides at 1.44
58,323.7514,Collides at 1.44
59,323.7516,Collides at 1.44
60,323.7518,Collides at 1.44
61,323.752,Collides at 1.44
62,323.7522,Collides at 1.44
63,323.7524,Collides at 1.44
64,323.7526,Collides at 1.50
65,323.7528,Collides at 1.50
66,323.753,Collides at 1.50
67,323.7532,Collides at 1.50
68,323.7534,Collides at 1.56
69,323.7536,Collides at 1.56
70,323.7538,Collides at 1.62
71,323.754,Collides at 1.86
72,323.7542,Diverges Up
73,323.7544,Diverges Up
74,323.7546,Diverges Up
75,323.7548,Diverges Up
76,323.755,Diverges Up
77,323.7552,Diverges Up
78,323.7554,Diverges Up
79,323.7556,Diverges Up
80,323.7558,Diverges Up
81,323.756,Diverges Up
82,323.7562,Diverges Up
83,323.7564,Diverges Up
84,323.7566,Diverges Up
85,323.7568,Diverges Up
86,323.757,Diverges Up
87,323.7572,Diverges Up
88,323.7574,Diverges Up
89,323.7576,Diverges Up
90,323.7578,Diverges Up
91,323.758,Diverges Up
92,323.7582,Diverges Up
93,323.7584,Diverges Up
94,323.7586,Diverges Up
95,323.7588,Diverges Up
96,323.759,Diverges Up
97,323.7592,Diverges Up
98,323.7594,Diverges Up
99,323.7596,Diverges Up
100,323.7598,Diverges Up
101,323.76,Diverges Up
